pct,month,address5,total_pericyazine,list_size,pericyazine_per_1000
00N,2018-10-01,0.0,1.0,7968,0.1255020080321285
00N,2018-12-01,0.0,1.0,8006,0.12490632025980515
00N,2019-02-01,0.0,1.0,8019,0.12470382840753212
00N,2019-04-01,0.0,2.0,8019,0.24940765681506424
00N,2019-05-01,0.0,1.0,8008,0.12487512487512488
00N,2019-06-01,0.0,1.0,8009,0.1248595330253465
00P,2014-07-01,0.0,8.0,9627,0.8309961566427756
00P,2015-12-01,0.0,1.0,9930,0.10070493454179255
00Q,2014-07-01,0.0,2.0,10022,0.39969656243009444
00Q,2014-08-01,0.0,3.0,10022,0.5919672795998695
00Q,2014-09-01,0.0,1.0,4821,0.20742584526031943
00Q,2014-10-01,0.0,3.0,9971,0.5962663986347123
00Q,2014-11-01,0.0,1.0,4836,0.20678246484698098
00Q,2014-12-01,0.0,2.0,9971,0.4015244317408466
00Q,2015-01-01,0.0,3.0,9890,0.6013622391581568
00Q,2015-02-01,0.0,2.0,9890,0.40478272274376714
00Q,2015-03-01,0.0,3.0,4803,0.6246096189881324
00Q,2015-04-01,0.0,1.0,4788,0.20885547201336674
00Q,2015-05-01,0.0,1.0,4788,0.20885547201336674
00Q,2015-06-01,0.0,2.0,4788,0.4177109440267335
00Q,2015-07-01,0.0,1.0,4768,0.20973154362416108
00Q,2015-08-01,0.0,1.0,4768,0.20973154362416108
00Q,2015-09-01,0.0,1.0,4768,0.20973154362416108
00Q,2015-10-01,0.0,1.0,4782,0.20911752404851525
00Q,2015-11-01,0.0,1.0,4782,0.20911752404851525
00Q,2015-12-01,0.0,1.0,4782,0.20911752404851525
00Q,2016-01-01,0.0,1.0,4803,0.20820320632937747
00Q,2016-02-01,0.0,1.0,4803,0.20820320632937747
00Q,2016-03-01,0.0,1.0,4803,0.20820320632937747
00Q,2016-04-01,0.0,1.0,4806,0.20807324178110695
00Q,2016-05-01,0.0,1.0,4806,0.20807324178110695
00Q,2016-06-01,0.0,1.0,4806,0.20807324178110695
00Q,2016-07-01,0.0,1.0,4849,0.20622808826562178
00Q,2016-08-01,0.0,1.0,4849,0.20622808826562178
00Q,2016-09-01,0.0,1.0,4849,0.20622808826562178
00Q,2016-10-01,0.0,1.0,4850,0.2061855670103093
00Q,2016-11-01,0.0,2.0,4850,0.4123711340206186
00Q,2016-12-01,0.0,1.0,4850,0.2061855670103093
00Q,2017-01-01,0.0,1.0,4814,0.2077274615704196
