pct,month,list_size,address5,total_promazine,promazine_per_1000
00C,2017-08-01,108070,0.0,1.0,0.009253261774775609
00D,2017-08-01,291393,0.0,41.0,0.14070344860720746
00J,2017-08-01,256065,0.0,2.0,0.007810516860953274
00K,2017-08-01,296639,0.0,148.0,0.49892293326231546
00L,2017-08-01,324558,0.0,3.0,0.009243340173405062
00M,2017-08-01,295081,0.0,2.0,0.00677779999389998
00N,2017-08-01,156636,0.0,0.0,0.0
00P,2017-08-01,284198,0.0,3.0,0.010556020802398328
00Q,2017-08-01,174250,0.0,63.0,0.3615494978479196
00R,2017-08-01,173180,0.0,47.0,0.2713939253955422
00T,2017-08-01,307820,0.0,1826.0,5.93203820414528
00V,2017-08-01,203187,0.0,600.0,2.9529448242259595
00X,2017-08-01,182614,0.0,53.0,0.29022966475735706
00Y,2017-08-01,253377,0.0,473.0,1.8667834886355115
01A,2017-08-01,380411,0.0,118.0,0.3101908199289716
01C,2017-08-01,208196,0.0,80.0,0.3842532997752118
01D,2017-08-01,231963,0.0,315.0,1.3579751943197838
01E,2017-08-01,213988,0.0,18.0,0.08411686636633829
01F,2017-08-01,130844,0.0,15.0,0.11464033505548592
01G,2017-08-01,268668,0.0,736.0,2.739440499054595
01H,2017-08-01,323636,0.0,15.0,0.04634836668355807
01J,2017-08-01,164173,0.0,126.0,0.7674830818709532
01K,2017-08-01,359533,0.0,20.0,0.055627717066305454
01R,2017-08-01,183990,0.0,5.0,0.02717538996684602
01T,2017-08-01,154669,0.0,21.0,0.13577381375712005
01V,2017-08-01,124662,0.0,7.0,0.056151834560652
01W,2017-08-01,310944,0.0,597.0,1.9199598641556035
01X,2017-08-01,197157,0.0,88.0,0.4463447912070076
01Y,2017-08-01,246915,0.0,751.0,3.0415325111880605
02A,2017-08-01,241152,0.0,80.0,0.3317409766454352
02D,2017-08-01,105832,0.0,6.0,0.056693627636253685
02E,2017-08-01,217660,0.0,42.0,0.19296149958651107
02F,2017-08-01,262343,0.0,11.0,0.04192983994236553
02G,2017-08-01,112952,0.0,14.0,0.12394645513138323
02H,2017-08-01,326729,0.0,181.0,0.5539759250020659
02M,2017-08-01,151493,0.0,15.0,0.09901447591637898
02N,2017-08-01,158876,0.0,5.0,0.03147108436768298
02P,2017-08-01,258770,0.0,12.0,0.04637322719016888
02Q,2017-08-01,116715,0.0,9.0,0.07711091119393394
02R,2017-08-01,332051,0.0,8.0,0.024092684557492673
02T,2017-08-01,220374,0.0,8.0,0.036301923094375924
02V,2017-08-01,216188,0.0,0.0,0.0
02W,2017-08-01,138123,0.0,0.0,0.0
02X,2017-08-01,319061,0.0,32.0,0.10029430108976026
02Y,2017-08-01,302766,0.0,5.0,0.01651440386304935
03A,2017-08-01,246926,0.0,7.0,0.028348574066724443
03C,2017-08-01,373702,0.0,3.0,0.00802778684620366
03D,2017-08-01,144117,0.0,0.0,0.0
03E,2017-08-01,162523,0.0,3.0,0.018458925813577155
03F,2017-08-01,296713,0.0,2.0,0.006740520300762016
03G,2017-08-01,278796,0.0,2.0,0.007173704070359689
03H,2017-08-01,169451,0.0,2.0,0.011802822054753291
03J,2017-08-01,192681,0.0,3.0,0.015569775950924066
03K,2017-08-01,173723,0.0,1.0,0.005756290186100861
03L,2017-08-01,262134,0.0,3.0,0.011444528370985831
03M,2017-08-01,119991,0.0,0.0,0.0
03N,2017-08-01,592058,0.0,13.0,0.021957308236693025
03Q,2017-08-01,352516,0.0,3.0,0.008510252016929728
03R,2017-08-01,371022,0.0,10.0,0.026952579631396523
03T,2017-08-01,248800,0.0,7.0,0.028135048231511254
03V,2017-08-01,77338,0.0,7.0,0.09051177946158422
03W,2017-08-01,329012,0.0,7.0,0.021275819726940048
03X,2017-08-01,97646,0.0,37.0,0.3789197714192082
03Y,2017-08-01,103957,0.0,8.0,0.07695489481227816
04C,2017-08-01,398053,0.0,16.0,0.04019565233775402
04D,2017-08-01,237264,0.0,0.0,0.0
04E,2017-08-01,192719,0.0,10.0,0.05188901976452763
04F,2017-08-01,291487,0.0,5.0,0.01715342365182667
04G,2017-08-01,678561,0.0,118.0,0.17389740937071244
04H,2017-08-01,134092,0.0,2.0,0.014915132893834084
04J,2017-08-01,292606,0.0,26.0,0.08885668783278539
04K,2017-08-01,368063,0.0,1.0,0.0027169261783988067
04L,2017-08-01,151731,0.0,7.0,0.04613427710883076
04M,2017-08-01,93915,0.0,2.0,0.021295852632699782
04N,2017-08-01,126098,0.0,3.0,0.023791019683103615
04Q,2017-08-01,133307,0.0,12.0,0.09001777851125597
04R,2017-08-01,550926,0.0,61.0,0.110722674188548
04V,2017-08-01,387251,0.0,48.0,0.12395061600873851
04X,2017-08-01,331737,0.0,23.0,0.06933203109692317
04Y,2017-08-01,132557,0.0,15.0,0.113158867506054
05A,2017-08-01,505470,0.0,8.0,0.015826854214889115
05C,2017-08-01,318837,0.0,565.0,1.7720653500064296
05D,2017-08-01,140991,0.0,1.0,0.007092651303983942
05F,2017-08-01,186835,0.0,1.0,0.0053523162148419725
05G,2017-08-01,217248,0.0,3.0,0.013809102960671676
05H,2017-08-01,190738,0.0,2.0,0.010485587559898918
05J,2017-08-01,177401,0.0,10.0,0.05636946804133009
05L,2017-08-01,566058,0.0,205.0,0.36215370156415067
05N,2017-08-01,308151,0.0,6.0,0.019470973646037167
05P,2017-08-01,248797,0.0,3.0,0.012058023207675333
05Q,2017-08-01,217580,0.0,13.0,0.05974813861568159
05R,2017-08-01,283718,0.0,3.0,0.010573879697446055
05T,2017-08-01,308923,0.0,10.0,0.03237052598867679
05V,2017-08-01,148645,0.0,9.0,0.060546940697635304
05W,2017-08-01,289382,0.0,9.0,0.031100759549661003
05X,2017-08-01,184760,0.0,3.0,0.016237280796709247
05Y,2017-08-01,283988,0.0,180.0,0.6338295984337367
06A,2017-08-01,277462,0.0,247.0,0.8902119929936352
06D,2017-08-01,115785,0.0,4.0,0.034546789307768715
06F,2017-08-01,475091,0.0,6.0,0.012629159466291721
06H,2017-08-01,954082,0.0,3.0,0.003144383816066124
06K,2017-08-01,595274,0.0,8.0,0.013439189348098523
06L,2017-08-01,405281,0.0,6.0,0.014804543020768307
06M,2017-08-01,239050,0.0,3.0,0.012549675800041833
06N,2017-08-01,642802,0.0,30.0,0.046670669973024353
06P,2017-08-01,232390,0.0,0.0,0.0
06Q,2017-08-01,389623,0.0,2.0,0.005133167189821956
06T,2017-08-01,348361,0.0,5.0,0.01435292699240156
06V,2017-08-01,173329,0.0,23.0,0.13269562508293478
06W,2017-08-01,233022,0.0,3.0,0.012874320879573603
06Y,2017-08-01,226038,0.0,2.0,0.008848069793574533
07G,2017-08-01,174888,0.0,4.0,0.022871780796852845
07H,2017-08-01,310761,0.0,2.0,0.006435814017846512
07J,2017-08-01,174632,0.0,2.0,0.01145265472536534
07K,2017-08-01,249823,0.0,2.0,0.00800566801295317
07L,2017-08-01,223891,0.0,6.0,0.026798754751195895
07M,2017-08-01,419242,0.0,2.0,0.004770514404568244
07N,2017-08-01,239882,0.0,6.0,0.025012297713042246
07P,2017-08-01,374587,0.0,2.0,0.005339213587230737
07Q,2017-08-01,347607,0.0,2.0,0.005753624063957285
07R,2017-08-01,276442,0.0,3.0,0.01085218599199832
07T,2017-08-01,314456,0.0,1.0,0.0031800951484468416
07V,2017-08-01,410018,0.0,5.0,0.012194586579125795
07W,2017-08-01,434468,0.0,2.0,0.004603330970290102
07X,2017-08-01,336411,0.0,1.0,0.002972554405177001
07Y,2017-08-01,311682,0.0,3.0,0.009625194910196932
08A,2017-08-01,293232,0.0,1.0,0.0034102690020188795
08C,2017-08-01,215450,0.0,1.0,0.004641448131817127
08D,2017-08-01,315413,0.0,2.0,0.006340892734288061
08E,2017-08-01,264637,0.0,11.0,0.041566372049259934
08F,2017-08-01,276663,0.0,5.0,0.01807252867206674
08G,2017-08-01,309476,0.0,2.0,0.00646253667489563
08H,2017-08-01,247815,0.0,2.0,0.0080705364889131
08J,2017-08-01,207340,0.0,1.0,0.004822996045143243
08K,2017-08-01,406030,0.0,3.0,0.007388616604684383
08L,2017-08-01,326521,0.0,1.0,0.003062590154997688
08M,2017-08-01,395279,0.0,5.0,0.012649293283984224
08N,2017-08-01,314127,0.0,1.0,0.0031834258118531677
08P,2017-08-01,215990,0.0,1.0,0.004629843974258068
08Q,2017-08-01,325530,0.0,2.0,0.006143826989831967
08R,2017-08-01,225388,0.0,2.0,0.008873586881289154
08T,2017-08-01,194109,0.0,1.0,0.005151744638321768
08V,2017-08-01,316459,0.0,2.0,0.006319934019888832
08W,2017-08-01,309331,0.0,5.0,0.016163915029531472
08X,2017-08-01,398407,0.0,8.0,0.020079968474449497
08Y,2017-08-01,246334,0.0,4.0,0.0162381157290508
09A,2017-08-01,220202,0.0,4.0,0.018165139281205438
09C,2017-08-01,132199,0.0,1.0,0.007564353739438271
09D,2017-08-01,313676,0.0,2.0,0.0063760058149173035
09E,2017-08-01,222169,0.0,6.0,0.02700646804909776
09F,2017-08-01,195303,0.0,6.0,0.03072149429348243
09G,2017-08-01,512491,0.0,25.0,0.0487813444528782
09H,2017-08-01,132292,0.0,0.0,0.0
09J,2017-08-01,266579,0.0,2.0,0.007502466435840783
09L,2017-08-01,182101,0.0,4.0,0.021965832148093643
09N,2017-08-01,224678,0.0,2.0,0.008901628107780914
09P,2017-08-01,188335,0.0,5.0,0.026548437624445802
09W,2017-08-01,298070,0.0,15.0,0.050323749454826046
09X,2017-08-01,238986,0.0,3.0,0.012553036579548593
09Y,2017-08-01,371014,0.0,12.0,0.03234379295660002
10A,2017-08-01,204894,0.0,6.0,0.02928343436118188
10C,2017-08-01,96617,0.0,5.0,0.05175072709771573
