pct,month,list_size,address5,total_promazine,promazine_per_1000
10D,2017-08-01,111980,0.0,2.0,0.01786033220217896
10E,2017-08-01,144633,0.0,5.0,0.03457025713357256
10G,2017-08-01,141194,0.0,4.0,0.028329815714548776
10H,2017-08-01,342314,0.0,16.0,0.04674071174418808
10J,2017-08-01,225648,0.0,12.0,0.05318017443097213
10K,2017-08-01,204727,0.0,6.0,0.029307321457355408
10L,2017-08-01,144068,0.0,9.0,0.062470500041647
10M,2017-08-01,118945,0.0,3.0,0.025221741140863424
10N,2017-08-01,110842,0.0,1.0,0.00902185092293535
10Q,2017-08-01,732580,0.0,6.0,0.008190231783559473
10R,2017-08-01,227264,0.0,6.0,0.026401013798929878
10T,2017-08-01,158644,0.0,7.0,0.044123950480320716
10V,2017-08-01,214320,0.0,1.0,0.004665920119447555
10W,2017-08-01,144538,0.0,2.0,0.013837191603592135
10X,2017-08-01,281872,0.0,6.0,0.02128625759209854
10Y,2017-08-01,213871,0.0,7.0,0.03273001014630314
11A,2017-08-01,559859,0.0,12.0,0.02143396819556353
11C,2017-08-01,155002,0.0,0.0,0.0
11D,2017-08-01,163677,0.0,2.0,0.01221918779058756
11E,2017-08-01,203327,0.0,1.0,0.0049181859762845075
11H,2017-08-01,508109,0.0,5.0,0.009840408258857843
11J,2017-08-01,796799,0.0,42.0,0.052710909526743885
11M,2017-08-01,639928,0.0,6.0,0.009376054806165693
11N,2017-08-01,571288,0.0,3.0,0.005251291817787176
11T,2017-08-01,219265,0.0,1.0,0.004560691400816364
11X,2017-08-01,571617,0.0,2.0,0.0034988462554472665
12A,2017-08-01,268579,0.0,1.0,0.003723299289966825
12D,2017-08-01,234499,0.0,0.0,0.0
12F,2017-08-01,336171,0.0,12.0,0.03569611893946831
13P,2017-08-01,722743,0.0,20.0,0.02767235379657776
13T,2017-08-01,518846,0.0,1.0,0.0019273541667469733
14L,2017-08-01,629023,0.0,261.0,0.4149291838295261
99A,2017-08-01,523585,0.0,67.0,0.12796394090739804
99C,2017-08-01,218678,0.0,7.0,0.032010536039290646
99D,2017-08-01,166165,0.0,2.0,0.01203622904943881
99E,2017-08-01,277415,0.0,7.0,0.025232954238235135
99F,2017-08-01,184868,0.0,1.0,0.005409264989073285
99G,2017-08-01,187778,0.0,7.0,0.03727806239282557
99H,2017-08-01,306770,0.0,7.0,0.022818398148449978
99J,2017-08-01,489072,0.0,4.0,0.008178754866359146
99K,2017-08-01,170338,0.0,4.0,0.02348272258685672
99M,2017-08-01,226842,0.0,11.0,0.048491901852390655
99N,2017-08-01,487103,0.0,6.0,0.01231772335625114
99P,2017-08-01,922740,0.0,10.0,0.01083728894379782
99Q,2017-08-01,291989,0.0,2.0,0.00684957310035652
