subpara,subpara_code
Antacids and simeticone,0101010
Sodium bicarbonate,0101012
Compound Alginates and proprietary indigestion preparations,0101021
Antispasmodic and other drugs altering gut motility,0102000
Test for helicobacter pylori,0103000
H2-Receptor antagonists,0103010
Selective antimuscarinics,0103020
Chelates and complexes,0103030
Prostaglandin analogues,0103040
Proton pump inhibitors,0103050
Other Ulcer-healing drugs,0103060
Adsorbents and bulk-forming drugs,0104010
Antimotility drugs,0104020
Enkephalinase inhibitors,0104030
Tryptophan hydroxylase inhibitors,0104040
Aminosalicylates,0105010
Corticosteroids,0105020
Drugs affecting immune response,0105030
Food allergy,0105040
Bulk-forming laxatives,0106010
Stimulant laxatives,0106020
Faecal softeners,0106030
Osmotic laxatives,0106040
Bowel cleansing preparations,0106050
Peripheral opioid-receptor antagonists,0106060
Other drugs used in constipation,0106070
Soothing haemorrhoidal preparations,0107010
Copound haemorrhoidal preparations with corticosteroid,0107020
Rectal sclerosants,0107030
Management of anal fissures,0107040
Local care of stoma,0108010
Drugs affecting biliary composition and flow,0109010
Pancreatin,0109040
Cardiac glycosides,0201010
Phosphodiesterase Type-3 inhibitors,0201020
Thiazides and related diuretics,0202010
Loop diuretics,0202020
Potassium-sparing diuretics and aldosterone antagonists,0202030
Potassium sparing diuretics and compounds,0202040
Osmotic diuretics,0202050
Diuretics with potassium,0202080
Drugs for arrhythmias,0203020
Beta-adrenoceptor blocking drugs,0204000
Vasodilator antihypertensive drugs,0205010
Centrally-acting antihypertensive drugs,0205020
Adrenergic neurone blocking drugs,0205030
Alpha-adrenoceptor blocking drugs,0205040
Angiotensin-converting enzyme inhibitors,0205051
Angiotensin-II receptor antagonists,0205052
Renin inhibitors,0205053
Ganglion-blocking drugs,0205060
Other adrenergic neurone blocking drugs,0205080
Nitrates,0206010
Calcium-channel blockers,0206020
Other antianginal drugs,0206030
Peripheral vasodilators and related drugs,0206040
Inotropic sympathomimetics,0207010
Vasoconstrictor sympathomimetics,0207020
Cardiopulmonary resuscitation,0207030
Parenteral anticoagulants,0208010
Oral anticoagulants,0208020
Protamine sulfate,0208030
Idarucizumab,0208040
Antiplatelet drugs,0209000
Fibrinolytic drugs,0210020
Antifibrinolytic drugs and haemostatics,0211000
Lipid-regulating drugs,0212000
Local sclerosants,0213000
Selective beta(2)-agonists,0301011
Other andrenoceptor agonists,0301012
Antimuscarinic bronchodilators,0301020
Theophylline,0301030
Compound bronchodilator preparations,0301040
Corticosteroids (respiratory),0302000
Cromoglycate and related therapy,0303010
Leukotriene receptor antagonists,0303020
Phosphodiesterase Type-4 inhibitors,0303030
Antihistamines,0304010
Allergen immunotherapy,0304020
Allergic emergencies,0304030
Respiratory stimulants,0305010
Mucolytics,0307000
Aromatic inhalations,0308000
Cough suppressants,0309010
Expectorant and demulcent cough preparations,0309020
Systemic nasal decongestants,0310000
Antifibrotics,0311010
Hypnotics,0401010
Anxiolytics,0401020
Barbiturates,0401030
Antipsychotic drugs,0402010
Antipsychotic depot injections,0402020
Drugs used for mania and hypomania,0402030
Tricyclic and related antidepressant drugs,0403010
Monoamine-oxidase inhibitors (maois),0403020
Selective serotonin re-uptake inhibitors,0403030
Other antidepressant drugs,0403040
CNS Stimulants and drugs used for ADHD,0404000
Gastro-intestinal anti-obesity drugs,0405010
Centrally-acting appetite suppressants,0405020
Drugs used in nausea and vertigo,0406000
Non-opioid analgesics and compound preparations,0407010
Opioid analgesics,0407020
Neuropathic pain,0407030
Treatment of acute migraine,0407041
Prophylaxis of migraine,0407042
Control of epilepsy,0408010
Drugs used in status epilepticus,0408020
Dopaminergic drugs used in parkinsonism,0409010
Antimuscarinic drugs used in parkinsonism,0409020
"Essential tremor,chorea,tics and related disorders",0409030
Alcohol dependence,0410010
Nicotine dependence,0410020
Opioid dependence,0410030
Drugs for dementia,0411000
Benzylpenicillin and phenoxymethylpenicillin,0501011
Penicillinase-resistant penicillins,0501012
Broad-spectrum penicillins,0501013
Antipseudomonal penicillins,0501014
Mecillinams,0501015
Cephalosporins and other beta-lactams,0501020
Cephalosporins,0501021
Carbapenems,0501022
Other beta-lactam antibiotics,0501023
Tetracyclines,0501030
Aminoglycosides,0501040
Macrolides,0501050
Clindamycin and lincomycin,0501060
Some other antibacterials,0501070
Sulfonamides and trimethoprim,0501080
Antituberculosis drugs,0501090
Antileprotic drugs,0501100
"Metronidazole, tinidazole and ornidazole",0501110
Quinolones,0501120
Urinary-tract infections,0501130
Triazole antifungals,0502010
Imidazole antifungals,0502020
Polyene antifungals,0502030
Echinocandin antifungals,0502040
Other antifungals,0502050
HIV infection,0503010
Herpes simplex and varicella-zoster,0503021
Cytomegalovirus infection,0503022
Chronic hepatitis B,0503031
Chronic hepatitis C,0503032
Influenza,0503040
Respiratory syncytial virus,0503050
Coronavirus,0503060
Antimalarials,0504010
Amoebicides,0504020
Antigiardial drugs,0504040
Leishmaniacides,0504050
Trypanocides,0504060
Drugs for pneumocystis pneumonia,0504080
Drugs for threadworms,0505010
Ascaricides,0505020
Drugs for tapeworm infections,0505030
Schistosomicides,0505050
Filaricides,0505060
Drugs for strongyloidiasis,0505080
Short-acting insulins,0601011
Intermediate and long-acting insulins,0601012
Sulfonylureas,0601021
Biguanides,0601022
Other antidiabetic drugs,0601023
Treatment of hypoglycaemia,0601040
Diabetic diagnostic and monitoring agents,0601060
Thyroid hormones,0602010
Antithyroid drugs,0602020
Replacement therapy,0603010
Use of corticosteroids,0603020
Oestrogens and Hormone Replacement Therapy,0604011
Progestogens and progesterone receptor modulators,0604012
Male sex hormones and antagonists,0604020
Anabolic steroids,0604030
Hypothalamic & anterior pituitary hormone & antioestrogens,0605010
Posterior pituitary hormones and antagonists,0605020
Calcitonin and parathyroid hormone,0606010
Bisphosphonates and other drugs,0606020
Bromocriptine and other dopaminergic drugs,0607010
Drugs affecting gonadotrophins,0607020
Metyrapone,0607030
Somatomedins,0607040
Metreleptin,0607050
Prostaglandins and oxytocics,0701010
Drugs affecting the ductus arteriosus,0701011
Mifepristone,0701020
Mifepristone and misoprostol,0701021
Myometrial relaxants,0701030
Preparations for vaginal/vulval changes,0702010
Vaginal and vulval infections,0702020
Combined hormonal contraceptives,0703010
Combined hormonal systems,0703011
Oral progestogen-only contraceptives,0703021
Parenteral progestogen-only contraceptives,0703022
Intra-uterine progestogen-only device,0703023
Spermicidal contraceptives,0703030
Emergency contraception,0703050
Drugs for urinary retention,0704010
Drugs for urinary frequency enuresis and incontinence,0704020
Drugs used in urological pain,0704030
Bladder instillations/urological surgery,0704040
Drugs for erectile dysfunction,0704050
Drugs for premature ejaculation,0704060
Drugs for cytotoxic-induced side-effects,0801000
Alkylating drugs,0801010
Anthracyclines and cytotoxic antibiotics,0801020
Antimetabolites,0801030
Vinca alkaloids and etoposide,0801040
Other antineoplastic drugs,0801050
Other cytotoxic drugs,0801060
Antiproliferative immunosuppressants,0802010
Corticosteroids and other immunosuppressants,0802020
Anti-lymphocyte monoclonal antibodies,0802030
Other immunomodulating drugs,0802040
Oestrogens,0803010
Progestogens,0803020
Androgens,0803030
Breast cancer,0803041
Prostate cancer and gonadorelin analogues,0803042
Somatostatin analogues,0803043
Oral iron,0901011
Parenteral iron,0901012
Drugs used in megaloblastic anaemias,0901020
Hypoplastic/haemolytic and renal anaemias,0901030
Drugs used in platelet disorders,0901040
Drugs used in neutropenia,0901060
Drugs used to mobilise stem cells,0901070
Oral potassium,0902011
Oral sodium and water,0902012
Oral bicarbonate,0902013
Electrolytes and water,0902021
Plasma and plasma substitutes,0902022
Intravenous nutrition,0903000
Foods for special diets,0904010
Enteral nutrition,0904020
Calcium supplements,0905011
Hypercalcaemia,0905012
Magnesium,0905013
Phosphate supplements,0905021
Phosphate binding agents,0905022
Fluoride,0905030
Zinc,0905041
Chromium,0905042
Kelp,0905044
Selenium,0905047
Other mineral formulations,0905048
Selenium,0905050
Vitamin A,0906011
Betacarotene,0906012
Nicotinamide (B7),0906022
Pantothenic acid (Calcium Pantothenate),0906023
Pyridoxine hydrochloride (B6),0906024
Riboflavine (B2),0906025
Thiamine hydrochloride (B1),0906026
Vitamin B compound,0906027
Other vitamin B preparations,0906028
Vitamin C (ascorbic acid),0906031
Other vitamin C preparations,0906033
Vitamin D,0906040
Other vitamin D preparations,0906048
Vitamin E,0906050
Vitamin K,0906060
Multivitamin preparations,0906070
Bitters and tonics,0907000
Drugs used in metabolic disorders,0908010
Acute porphyrias,0908020
Foods,0909000
Compound vitamin and mineral formulations,0910000
Amino acids and nutritional agents,0911010
Enzymes,0911020
Digestive aids,0911040
Other health supplements,0912000
Non-steroidal anti-inflammatory drugs,1001010
Local corticosteroid injections,1001022
Rheumatic disease suppressant drugs,1001030
Gout and cytotoxic induced hyperiuicaemia,1001040
Other drugs for rheumatic diseases,1001050
Drugs which enhance neuromuscular transmission,1002010
Skeletal muscle relaxants,1002020
Enzymes,1003010
"Rubefacients, topical NSAIDS, capsaicin and poultice",1003020
Antibacterials,1103010
Antifungals,1103020
Antivirals,1103030
Corticosteroids,1104010
Other anti-inflammatory preparations,1104020
Mydriatics and cycloplegics,1105000
Treatment of glaucoma,1106000
Local anaesthetics,1107000
"Tear deficiency, eye lubricant/astringent",1108010
Ocular diagnostic & peri-operative prepn & photodynamic tt,1108020
Other eye preparations,1108030
Otitis externa,1201010
Removal of ear wax and other substances,1201030
Drugs used in nasal allergy,1202010
Topical nasal decongestants,1202020
Nasal preparations for infection,1202030
Drugs for oral ulceration and inflammation,1203010
Oropharyngeal anti-infective drugs,1203020
Lozenges and sprays,1203030
"Mouth-washes, gargles and dentifrices",1203040
Treatment of dry mouth,1203050
Vehicles,1301010
Emollients,1302010
Emollient bath and shower preparations,1302011
Barrier preparations,1302020
Dusting-powders,1302030
Topical local anaesthetics and antipruritics,1303000
Topical corticosteroids,1304000
Preparations for eczema,1305010
Preparations for psoriasis,1305020
Drugs affecting the immune response,1305030
Topical preparations for acne,1306010
Oral preparations for acne,1306020
Topical preparation for rosacea,1306030
Preparations for warts and calluses,1307000
Sunscreening preparations,1308010
Camouflagers,1308020
Shampoos and some other scalp preparations,1309000
Antibacterial preparations only used topically,1310011
Antibacterial preparations also used systemically,1310012
Antifungal preparations,1310020
Antiviral preparations,1310030
Parasiticidal preparations,1310040
Preparations for minor cuts and abrasions,1310050
Alcohols and saline,1311010
Chlorhexidine salts,1311020
Cationic surfactants and soaps,1311030
Chlorine and iodine,1311040
Phenolics,1311050
Oxidisers and dyes,1311060
Desloughing agents,1311070
Antiperspirants,1312000
Medicated stockings,1313010
Gel and colloid dressings,1313080
Topical circulatory preparations,1314000
Miscellaneous topical preparations,1315000
Diagnostic vaccines,1403000
Vaccines and antisera,1404000
Other immunoglobulins,1405000
Normal immunoglobulin,1405010
Disease-specific immunoglobulins,1405020
Anti-D (Rho) immunoglobulin,1405030
Intravenous anaesthetics,1501010
Inhalational anaesthetics,1501020
Antimuscarinic drugs,1501030
Benzodiazepines,1501041
Non-opioid analgesics,1501042
Opioid analgesics,1501043
Neuromuscular blocking drugs,1501050
Anticholinesterases used in anaesthesia,1501060
Antagonists for respiratory depression,1501070
Drugs for malignant hyperthermia,1501080
Local anaesthetics,1502010
X-ray contrast media,1803000
Diagnostic agents,1804000
"Alcohol, wines and spirits",1901000
Individually formulated preparations bought in,1902010
Individually formulated preparations prepared extemp,1902020
Homeopathic preparations,1902030
Household and other over the counter lines,1902050
Toiletries,1902055
Poisoning antidotes,1902070
Single substances,1904000
Other preparations,1905000
Acids,1906000
Concentrated waters,1906010
Extracts,1906030
Oils,1906050
Tinctures,1906060
Syrups,1906070
"Base,diluent, suspending agents and stabilisers",1907000
"Colouring,flavouring and sweetening agents",1908000
"Disinfectants, preservatives and sterilising agents",1909000
Cordials and soft drinks,1913000
Sterile water,1914010
Purified water,1914020
Other gases,1915000
DUMMY SUB-PARAGRAPH 2001000,2001000
DUMMY SUB-PARAGRAPH 2002010,2002010
DUMMY SUB-PARAGRAPH 2002020,2002020
DUMMY SUB-PARAGRAPH 2003000,2003000
DUMMY SUB-PARAGRAPH 2003010,2003010
DUMMY SUB-PARAGRAPH 2003020,2003020
DUMMY SUB-PARAGRAPH 2003030,2003030
DUMMY SUB-PARAGRAPH 2003040,2003040
DUMMY SUB-PARAGRAPH 2003050,2003050
DUMMY SUB-PARAGRAPH 2003060,2003060
DUMMY SUB-PARAGRAPH 2003070,2003070
DUMMY SUB-PARAGRAPH 2003080,2003080
DUMMY SUB-PARAGRAPH 2003090,2003090
DUMMY SUB-PARAGRAPH 2003100,2003100
DUMMY SUB-PARAGRAPH 2003110,2003110
DUMMY SUB-PARAGRAPH 2003120,2003120
DUMMY SUB-PARAGRAPH 2003130,2003130
DUMMY SUB-PARAGRAPH 2003140,2003140
DUMMY SUB-PARAGRAPH 2003150,2003150
DUMMY SUB-PARAGRAPH 2003160,2003160
DUMMY SUB-PARAGRAPH 2003170,2003170
DUMMY SUB-PARAGRAPH 2003180,2003180
DUMMY SUB-PARAGRAPH 2003190,2003190
DUMMY SUB-PARAGRAPH 2003200,2003200
DUMMY SUB-PARAGRAPH 2003210,2003210
DUMMY SUB-PARAGRAPH 2003220,2003220
DUMMY SUB-PARAGRAPH 2003230,2003230
DUMMY SUB-PARAGRAPH 2003240,2003240
DUMMY SUB-PARAGRAPH 2003250,2003250
DUMMY SUB-PARAGRAPH 2003260,2003260
DUMMY SUB-PARAGRAPH 2003270,2003270
DUMMY SUB-PARAGRAPH 2003280,2003280
DUMMY SUB-PARAGRAPH 2003290,2003290
DUMMY SUB-PARAGRAPH 2003300,2003300
DUMMY SUB-PARAGRAPH 2004020,2004020
DUMMY SUB-PARAGRAPH 2004030,2004030
DUMMY SUB-PARAGRAPH 2005000,2005000
DUMMY SUB-PARAGRAPH 2005010,2005010
DUMMY SUB-PARAGRAPH 2005020,2005020
DUMMY SUB-PARAGRAPH 2005030,2005030
DUMMY SUB-PARAGRAPH 2005040,2005040
DUMMY SUB-PARAGRAPH 2005050,2005050
DUMMY SUB-PARAGRAPH 2005060,2005060
DUMMY SUB-PARAGRAPH 2006000,2006000
DUMMY SUB-PARAGRAPH 2007000,2007000
DUMMY SUB-PARAGRAPH 2008000,2008000
DUMMY SUB-PARAGRAPH 2009000,2009000
DUMMY SUB-PARAGRAPH 2010000,2010000
DUMMY SUB-PARAGRAPH 2011000,2011000
DUMMY SUB-PARAGRAPH 2012000,2012000
DUMMY SUB-PARAGRAPH 2014000,2014000
DUMMY SUB-PARAGRAPH 2015000,2015000
DUMMY SUB-PARAGRAPH 2017000,2017000
DUMMY SUB-PARAGRAPH 2018000,2018000
DUMMY SUB-PARAGRAPH 2020000,2020000
DUMMY SUB-PARAGRAPH 2101000,2101000
DUMMY SUB-PARAGRAPH 2101010,2101010
DUMMY SUB-PARAGRAPH 2101022,2101022
DUMMY SUB-PARAGRAPH 2101023,2101023
DUMMY SUB-PARAGRAPH 2101030,2101030
DUMMY SUB-PARAGRAPH 2101050,2101050
DUMMY SUB-PARAGRAPH 2101060,2101060
DUMMY SUB-PARAGRAPH 2101080,2101080
DUMMY SUB-PARAGRAPH 2101090,2101090
DUMMY SUB-PARAGRAPH 2101100,2101100
DUMMY SUB-PARAGRAPH 2101110,2101110
DUMMY SUB-PARAGRAPH 2101120,2101120
DUMMY SUB-PARAGRAPH 2101130,2101130
DUMMY SUB-PARAGRAPH 2101150,2101150
DUMMY SUB-PARAGRAPH 2101200,2101200
DUMMY SUB-PARAGRAPH 2101210,2101210
DUMMY SUB-PARAGRAPH 2101220,2101220
DUMMY SUB-PARAGRAPH 2101230,2101230
DUMMY SUB-PARAGRAPH 2101240,2101240
DUMMY SUB-PARAGRAPH 2101250,2101250
DUMMY SUB-PARAGRAPH 2101260,2101260
DUMMY SUB-PARAGRAPH 2102000,2102000
DUMMY SUB-PARAGRAPH 2103000,2103000
DUMMY SUB-PARAGRAPH 2104000,2104000
DUMMY SUB-PARAGRAPH 2106010,2106010
DUMMY SUB-PARAGRAPH 2106020,2106020
DUMMY SUB-PARAGRAPH 2107010,2107010
DUMMY SUB-PARAGRAPH 2107030,2107030
DUMMY SUB-PARAGRAPH 2107041,2107041
DUMMY SUB-PARAGRAPH 2107042,2107042
DUMMY SUB-PARAGRAPH 2107051,2107051
